name,taxonomy/kingdom,taxonomy/phylum,taxonomy/class,taxonomy/order,taxonomy/family,taxonomy/genus,taxonomy/scientific_name,locations/0,characteristics/prey,characteristics/name_of_young,characteristics/group_behavior,characteristics/estimated_population_size,characteristics/biggest_threat,characteristics/most_distinctive_feature,characteristics/other_name(s),characteristics/gestation_period,characteristics/habitat,characteristics/diet,characteristics/average_litter_size,characteristics/lifestyle,characteristics/common_name,characteristics/number_of_species,characteristics/location,characteristics/slogan,characteristics/group,characteristics/color,characteristics/skin_type,characteristics/top_speed,characteristics/lifespan,characteristics/weight,characteristics/length,characteristics/age_of_sexual_maturity,characteristics/age_of_weaning,characteristics/litter_size,characteristics/predators,characteristics/type,characteristics/height,characteristics/distinctive_feature,characteristics/temperament,characteristics/training,locations/1,locations/2,locations/3,characteristics/wingspan,characteristics/incubation_period,characteristics/age_of_fledgling,characteristics/average_clutch_size,characteristics/venomous,characteristics/aggression,characteristics/main_prey,characteristics/water_type,characteristics/age_of_independence,characteristics/average_spawn_size,characteristics/nesting_location,characteristics/age_of_molting,characteristics/favorite_food,characteristics/origin,locations/4,characteristics/migratory,characteristics/optimum_ph_level,locations/5,locations/6,locations/7,characteristics/special_features,locations/8,locations/9
Aardvark,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,Africa,"Termites, Ants",Cub,Solitary,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears","Antbear, Earth Pig",7 months,Sandy and clay soil,Omnivore,1,Nocturnal,Aardvark,18,Sub-Saharan Africa,Can move 2ft of soil in just 15 seconds!,Mammal,BrownGreyYellow,Hair,25 mph,23 years,60kg - 80kg (130lbs - 180lbs),1.05m - 2.20m (3.4ft - 7.3ft),2 years,3 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aardwolf,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristata,Africa,Termites and other insects,Cubs or pups,Solitary,,Habitat loss,The thick mane that runs along the back,"Maanhaar-jackal, termite-eating hyena, and civet hyena",90 days,Savannas and grasslands,Carnivore,,,aardwolf,1,Sub-Saharan Africa,,,BrownYellowBlack,Hair,,15 years,17-31lbs,33-41in,1.5-2 years,3-4 months,02-May,"Jackals, lions, and leopards",mammal,16-20in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssinian,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Africa,,,,,,,aka Aby or Abys for short,,,Omnivore,6,,Abyssinian cat,,,The oldest breed of cat in the world!,Cat,BrownGreyBlackWhiteBeige,Hair,,13-15 years,6-10 lbs,,,,,,Shorthair,,Silky fur and almond shaped eyes,Intelligent and curious,Easy,,,,,,,,,,,,,,,,,,,,,,,,,,
Addax,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,Africa,,Calf,Social,Less than 500 in the wild,"Overhunting, poaching, habitat destruction, climate change, human activity.","Its long, beautiful, spiral horns"," White antelope, screwhorn antelope, bakr al wahsh",257 to 264 days,Desert and semidesert habitats,Herbivore,,,Addax,1,"Areas of Niger, Chad, Mali, Mauritania, Libya, Sudan, reintroduced into Tunisia and Morocco",,herd,WhiteGrey-Brown,Hair,,19-25 years,,47 to 51 inches with a 9.8 to 13.8 inch tail,"Two years for males, two to three years for females",5 to 9 months,01-Feb,"Humans, big cats such as lions and leopards, medium-sized cats such as servals, hyenas and African wild dogs",Mammal,"Males 41 to 45 inches at the shoulder, females 37 to 43 inches at the shoulder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelie Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,Antarctica,"Krill, Fish, Squid",Chicks,Colony,5 million,Rapid ice melt,Small white circle around each eye,,,Antarctic land and ocean,Carnivore,,Diurnal,Adelie Penguin,1,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,,Feathers,45 mph,10 - 20 years,3kg - 6kg (7lbs - 13lbs),,2 - 3 years,,,"Leopard Seal, Skua Gull, Killer Whale",,40cm - 75cm (16in - 30in),,,,Asia,Eurasia,Ocean,35cm - 70cm (14in - 27.5in),2 months,90 days,2,,,,,,,,,,,,,,,,,,,
Aesculapian snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Zamenis,Zamenis longissimus,Asia,"Rodents, shrews, moles, birds, eggs, lizards, and insects",,,,,,,,,Carnivore,10 eggs,,Aesculapian snake,,,,,BlackOliveMulti-colored,,,25-30 years,,3-6.6 feet,,,,,,,,,,Europe,,,,,,,No,Low,,,,,,,,,,,,,,,,,
Affenpinscher,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Europe,,,,,,,,,,Omnivore,3,,Affenpinscher,,,First bred in 17th century Germany!,Dog,GreyBlack,Hair,,,,,,,,,Terrier,,Dark wiry-haired body and dark eyes,Alert and inquisitive,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghan Hound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Asia,,,,,,,,,,Omnivore,7,,Afghan Hound,,,First used as a shepherd and hunter!,Dog,BrownBlackWhiteGold,Hair,,,,,,,,,Hound,,Long fur and pointed muzzle,Alert yet reserved and lively,Moderately Easy,,,,,,,,,,,,,,,,,,,,,,,,,,
African Bullfrog,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus adspersus,Africa,,"Tadpole, polliwog, larva",Solitary,Unknown,"Habitat destruction, hunting, pet trade",Size,"Pixie frog, Giant African Bullfrog",,"Deserts, high veld, floodplains, grassland, savanna, farms, marshes, ponds, lakes",Carnivore,,,African bullfrog,1,Sub-Saharan Africa,,,YellowCreamOliveLight-Brown,Permeable,,45 years,0.9 to 18 kilograms (2 - 4 pounds),11.43 - 25.4 centimeters (4.5 - 10 inches),1.5 - 2 years,,As many as 4000 eggs laid at a time,Humans,Amphibian,,,,,,,,,,,,,,"Reptiles, small mammals, small birds, insects, amphibians, including other frogs",Fresh,,,,,,,,,,,,,,,
African Bush Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,Africa,"Grass, Fruit, Roots",Calf,Herd,"3,00,000",Poaching and habitat loss,"Large, rounded ears",African Elephant,20 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Bush Elephant,1,central and southern Africa,Can drink up to 50 gallons a day,Mammal,BrownGrey,Leather,25 mph,60 - 70 years,"3,600kg - 5,400kg (7,900lbs - 12,000lbs)",,11 - 20 years,6 - 18 months,,"Human, Lion, Hyena",,3m - 3.5m (10ft - 12ft),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
